,gene_id,gene_name,Type
VPS28,ENSG00000160948,VPS28,Gene Expression
TONSL,ENSG00000160949,TONSL,Gene Expression
ZFTRAF1,ENSG00000187954,ZFTRAF1,Gene Expression
TMEM276,ENSG00000291317,TMEM276,Gene Expression
KIFC2,ENSG00000167702,KIFC2,Gene Expression
FOXH1,ENSG00000160973,FOXH1,Gene Expression
PPP1R16A,ENSG00000160972,PPP1R16A,Gene Expression
MFSD3,ENSG00000167700,MFSD3,Gene Expression
RECQL4,ENSG00000160957,RECQL4,Gene Expression
LRRC14,ENSG00000160959,LRRC14,Gene Expression
C8orf82,ENSG00000213563,C8orf82,Gene Expression
ARHGAP39,ENSG00000147799,ARHGAP39,Gene Expression
ZNF251,ENSG00000198169,ZNF251,Gene Expression
ZNF34,ENSG00000196378,ZNF34,Gene Expression
RPL8,ENSG00000161016,RPL8,Gene Expression
ZNF517,ENSG00000197363,ZNF517,Gene Expression
ZNF7,ENSG00000147789,ZNF7,Gene Expression
COMMD5,ENSG00000170619,COMMD5,Gene Expression
ZNF250,ENSG00000196150,ZNF250,Gene Expression
ZNF16,ENSG00000170631,ZNF16,Gene Expression
ZNF252P,ENSG00000291080,ZNF252P,Gene Expression
ZNF252P-AS1,ENSG00000255559,ZNF252P-AS1,Gene Expression
C8orf33,ENSG00000182307,C8orf33,Gene Expression
WASHC1,ENSG00000181404,WASHC1,Gene Expression
MIR1302-9HG,ENSG00000227518,MIR1302-9HG,Gene Expression
ZNG1A,ENSG00000172785,ZNG1A,Gene Expression
DOCK8-AS1,ENSG00000183784,DOCK8-AS1,Gene Expression
DOCK8,ENSG00000107099,DOCK8,Gene Expression
KANK1,ENSG00000107104,KANK1,Gene Expression
SMARCA2,ENSG00000080503,SMARCA2,Gene Expression
PUM3,ENSG00000080608,PUM3,Gene Expression
ENSG00000289552,ENSG00000289552,ENSG00000289552,Gene Expression
RFX3,ENSG00000080298,RFX3,Gene Expression
RFX3-DT,ENSG00000232104,RFX3-DT,Gene Expression
GLIS3,ENSG00000107249,GLIS3,Gene Expression
SLC1A1,ENSG00000106688,SLC1A1,Gene Expression
PLPP6,ENSG00000205808,PLPP6,Gene Expression
CDC37L1-DT,ENSG00000273061,CDC37L1-DT,Gene Expression
CDC37L1,ENSG00000106993,CDC37L1,Gene Expression
AK3,ENSG00000147853,AK3,Gene Expression
RCL1,ENSG00000120158,RCL1,Gene Expression
JAK2,ENSG00000096968,JAK2,Gene Expression
PLGRKT,ENSG00000107020,PLGRKT,Gene Expression
ENSG00000286162,ENSG00000286162,ENSG00000286162,Gene Expression
RIC1,ENSG00000107036,RIC1,Gene Expression
ERMP1,ENSG00000099219,ERMP1,Gene Expression
KIAA2026,ENSG00000183354,KIAA2026,Gene Expression
RANBP6,ENSG00000137040,RANBP6,Gene Expression
UHRF2,ENSG00000147854,UHRF2,Gene Expression
KDM4C,ENSG00000107077,KDM4C,Gene Expression
DMAC1,ENSG00000137038,DMAC1,Gene Expression
PTPRD,ENSG00000153707,PTPRD,Gene Expression
ENSG00000285637,ENSG00000285637,ENSG00000285637,Gene Expression
MPDZ,ENSG00000107186,MPDZ,Gene Expression
NFIB,ENSG00000147862,NFIB,Gene Expression
ZDHHC21,ENSG00000175893,ZDHHC21,Gene Expression
ENSG00000291185,ENSG00000291185,ENSG00000291185,Gene Expression
TTC39B,ENSG00000155158,TTC39B,Gene Expression
SNAPC3,ENSG00000164975,SNAPC3,Gene Expression
PSIP1,ENSG00000164985,PSIP1,Gene Expression
CCDC171,ENSG00000164989,CCDC171,Gene Expression
RRAGA,ENSG00000155876,RRAGA,Gene Expression
HAUS6,ENSG00000147874,HAUS6,Gene Expression
PLIN2,ENSG00000147872,PLIN2,Gene Expression
DENND4C,ENSG00000137145,DENND4C,Gene Expression
RPS6,ENSG00000137154,RPS6,Gene Expression
ACER2,ENSG00000177076,ACER2,Gene Expression
SLC24A2,ENSG00000155886,SLC24A2,Gene Expression
MLLT3,ENSG00000171843,MLLT3,Gene Expression
FOCAD,ENSG00000188352,FOCAD,Gene Expression
CAAP1,ENSG00000120159,CAAP1,Gene Expression
PLAA,ENSG00000137055,PLAA,Gene Expression
IFT74,ENSG00000096872,IFT74,Gene Expression
MOB3B,ENSG00000120162,MOB3B,Gene Expression
ENSG00000285103,ENSG00000285103,ENSG00000285103,Gene Expression
C9orf72,ENSG00000147894,C9orf72,Gene Expression
ACO1,ENSG00000122729,ACO1,Gene Expression
RIGI,ENSG00000107201,RIGI,Gene Expression
TOPORS,ENSG00000197579,TOPORS,Gene Expression
SMIM27,ENSG00000235453,SMIM27,Gene Expression
NDUFB6,ENSG00000165264,NDUFB6,Gene Expression
APTX,ENSG00000137074,APTX,Gene Expression
DNAJA1,ENSG00000086061,DNAJA1,Gene Expression
SMU1,ENSG00000122692,SMU1,Gene Expression
B4GALT1,ENSG00000086062,B4GALT1,Gene Expression
SPINK4,ENSG00000122711,SPINK4,Gene Expression
BAG1,ENSG00000107262,BAG1,Gene Expression
CHMP5,ENSG00000086065,CHMP5,Gene Expression
NFX1,ENSG00000086102,NFX1,Gene Expression
ENSG00000286322,ENSG00000286322,ENSG00000286322,Gene Expression
AQP3,ENSG00000165272,AQP3,Gene Expression
NOL6,ENSG00000165271,NOL6,Gene Expression
ANKRD18B,ENSG00000230453,ANKRD18B,Gene Expression
PTENP1-AS,ENSG00000281128,PTENP1-AS,Gene Expression
UBE2R2,ENSG00000107341,UBE2R2,Gene Expression
UBAP2,ENSG00000137073,UBAP2,Gene Expression
DCAF12,ENSG00000198876,DCAF12,Gene Expression
UBAP1,ENSG00000165006,UBAP1,Gene Expression
KIF24,ENSG00000186638,KIF24,Gene Expression
NUDT2,ENSG00000164978,NUDT2,Gene Expression
FAM219A,ENSG00000164970,FAM219A,Gene Expression
RPP25L,ENSG00000164967,RPP25L,Gene Expression
DCTN3,ENSG00000137100,DCTN3,Gene Expression
SIGMAR1,ENSG00000147955,SIGMAR1,Gene Expression
GALT,ENSG00000213930,GALT,Gene Expression
IL11RA,ENSG00000137070,IL11RA,Gene Expression
ENSG00000187186,ENSG00000187186,ENSG00000187186,Gene Expression
ENSG00000230074,ENSG00000230074,ENSG00000230074,Gene Expression
DNAJB5,ENSG00000137094,DNAJB5,Gene Expression
VCP,ENSG00000165280,VCP,Gene Expression
FANCG,ENSG00000221829,FANCG,Gene Expression
PIGO,ENSG00000165282,PIGO,Gene Expression
STOML2,ENSG00000165283,STOML2,Gene Expression
ATOSB,ENSG00000005238,ATOSB,Gene Expression
UNC13B,ENSG00000198722,UNC13B,Gene Expression
RUSC2,ENSG00000198853,RUSC2,Gene Expression
TESK1,ENSG00000107140,TESK1,Gene Expression
CD72,ENSG00000137101,CD72,Gene Expression
CCDC107,ENSG00000159884,CCDC107,Gene Expression
ARHGEF39,ENSG00000137135,ARHGEF39,Gene Expression
TLN1,ENSG00000137076,TLN1,Gene Expression
CREB3,ENSG00000107175,CREB3,Gene Expression
GBA2,ENSG00000070610,GBA2,Gene Expression
RGP1,ENSG00000107185,RGP1,Gene Expression
ENSG00000227388,ENSG00000227388,ENSG00000227388,Gene Expression
HINT2,ENSG00000137133,HINT2,Gene Expression
TMEM8B,ENSG00000137103,TMEM8B,Gene Expression
RECK,ENSG00000122707,RECK,Gene Expression
GLIPR2,ENSG00000122694,GLIPR2,Gene Expression
CLTA,ENSG00000122705,CLTA,Gene Expression
GNE,ENSG00000159921,GNE,Gene Expression
RNF38,ENSG00000137075,RNF38,Gene Expression
MELK,ENSG00000165304,MELK,Gene Expression
EBLN3P,ENSG00000281649,EBLN3P,Gene Expression
ZCCHC7,ENSG00000147905,ZCCHC7,Gene Expression
GRHPR,ENSG00000137106,GRHPR,Gene Expression
ZBTB5,ENSG00000168795,ZBTB5,Gene Expression
POLR1E,ENSG00000137054,POLR1E,Gene Expression
FBXO10,ENSG00000147912,FBXO10,Gene Expression
TOMM5,ENSG00000175768,TOMM5,Gene Expression
TRMT10B,ENSG00000165275,TRMT10B,Gene Expression
EXOSC3,ENSG00000107371,EXOSC3,Gene Expression
DCAF10,ENSG00000122741,DCAF10,Gene Expression
SLC25A51,ENSG00000122696,SLC25A51,Gene Expression
SHB,ENSG00000107338,SHB,Gene Expression
ALDH1B1,ENSG00000137124,ALDH1B1,Gene Expression
GLIDR,ENSG00000278175,GLIDR,Gene Expression
ENSG00000291181,ENSG00000291181,ENSG00000291181,Gene Expression
ENSG00000289843,ENSG00000289843,ENSG00000289843,Gene Expression
ENSG00000291075,ENSG00000291075,ENSG00000291075,Gene Expression
ENSG00000288891,ENSG00000288891,ENSG00000288891,Gene Expression
CNTNAP3B,ENSG00000154529,CNTNAP3B,Gene Expression
ENSG00000291166,ENSG00000291166,ENSG00000291166,Gene Expression
FAM27C,ENSG00000231527,FAM27C,Gene Expression
LINC01410,ENSG00000238113,LINC01410,Gene Expression
FLJ43315,ENSG00000291012,FLJ43315,Gene Expression
ANKRD20A5P,ENSG00000290972,ANKRD20A5P,Gene Expression
ZNG1E,ENSG00000147996,ZNG1E,Gene Expression
ENSG00000290971,ENSG00000290971,ENSG00000290971,Gene Expression
ZNF658,ENSG00000274349,ZNF658,Gene Expression
ANKRD20A1,ENSG00000260691,ANKRD20A1,Gene Expression
PIP5K1B,ENSG00000107242,PIP5K1B,Gene Expression
PABIR1,ENSG00000187866,PABIR1,Gene Expression
ENSG00000288771,ENSG00000288771,ENSG00000288771,Gene Expression
FXN,ENSG00000165060,FXN,Gene Expression
TJP2,ENSG00000119139,TJP2,Gene Expression
BANCR,ENSG00000278910,BANCR,Gene Expression
PTAR1,ENSG00000188647,PTAR1,Gene Expression
CFAP95,ENSG00000204711,CFAP95,Gene Expression
SMC5-DT,ENSG00000268364,SMC5-DT,Gene Expression
SMC5,ENSG00000198887,SMC5,Gene Expression
KLF9,ENSG00000119138,KLF9,Gene Expression
CEMIP2,ENSG00000135048,CEMIP2,Gene Expression
ABHD17B,ENSG00000107362,ABHD17B,Gene Expression
C9orf85,ENSG00000155621,C9orf85,Gene Expression
GDA,ENSG00000119125,GDA,Gene Expression
ZFAND5,ENSG00000107372,ZFAND5,Gene Expression
LINC01474,ENSG00000236849,LINC01474,Gene Expression
ALDH1A1,ENSG00000165092,ALDH1A1,Gene Expression
ANXA1,ENSG00000135046,ANXA1,Gene Expression
C9orf40,ENSG00000135045,C9orf40,Gene Expression
CARNMT1-AS1,ENSG00000203321,CARNMT1-AS1,Gene Expression
CARNMT1,ENSG00000156017,CARNMT1,Gene Expression
NMRK1,ENSG00000106733,NMRK1,Gene Expression
OSTF1,ENSG00000134996,OSTF1,Gene Expression
RFK,ENSG00000135002,RFK,Gene Expression
VPS13A,ENSG00000197969,VPS13A,Gene Expression
GNAQ,ENSG00000156052,GNAQ,Gene Expression
ENSG00000289440,ENSG00000289440,ENSG00000289440,Gene Expression
CEP78,ENSG00000148019,CEP78,Gene Expression
PSAT1,ENSG00000135069,PSAT1,Gene Expression
TLE4,ENSG00000106829,TLE4,Gene Expression
FRMD3,ENSG00000172159,FRMD3,Gene Expression
IDNK,ENSG00000148057,IDNK,Gene Expression
UBQLN1,ENSG00000135018,UBQLN1,Gene Expression
UBQLN1-AS1,ENSG00000254473,UBQLN1-AS1,Gene Expression
GKAP1,ENSG00000165113,GKAP1,Gene Expression
KIF27,ENSG00000165115,KIF27,Gene Expression
C9orf64,ENSG00000165118,C9orf64,Gene Expression
HNRNPK,ENSG00000165119,HNRNPK,Gene Expression
RMI1,ENSG00000178966,RMI1,Gene Expression
AGTPBP1,ENSG00000135049,AGTPBP1,Gene Expression
ENSG00000290924,ENSG00000290924,ENSG00000290924,Gene Expression
NAA35,ENSG00000135040,NAA35,Gene Expression
ISCA1,ENSG00000135070,ISCA1,Gene Expression
TUT7,ENSG00000083223,TUT7,Gene Expression
DAPK1,ENSG00000196730,DAPK1,Gene Expression
CTSL,ENSG00000135047,CTSL,Gene Expression
SPIN1,ENSG00000106723,SPIN1,Gene Expression
CKS2,ENSG00000123975,CKS2,Gene Expression
SECISBP2,ENSG00000187742,SECISBP2,Gene Expression
SEMA4D,ENSG00000187764,SEMA4D,Gene Expression
GADD45G,ENSG00000130222,GADD45G,Gene Expression
SYK,ENSG00000165025,SYK,Gene Expression
AUH,ENSG00000148090,AUH,Gene Expression
NFIL3,ENSG00000165030,NFIL3,Gene Expression
ROR2,ENSG00000169071,ROR2,Gene Expression
SPTLC1,ENSG00000090054,SPTLC1,Gene Expression
ENSG00000290644,ENSG00000290644,ENSG00000290644,Gene Expression
IARS1,ENSG00000196305,IARS1,Gene Expression
NOL8,ENSG00000198000,NOL8,Gene Expression
CENPP,ENSG00000188312,CENPP,Gene Expression
OMD,ENSG00000127083,OMD,Gene Expression
IPPK,ENSG00000127080,IPPK,Gene Expression
BICD2,ENSG00000185963,BICD2,Gene Expression
ZNF484,ENSG00000127081,ZNF484,Gene Expression
SUSD3,ENSG00000157303,SUSD3,Gene Expression
CARD19,ENSG00000165233,CARD19,Gene Expression
NINJ1,ENSG00000131669,NINJ1,Gene Expression
FAM120AOS,ENSG00000188938,FAM120AOS,Gene Expression
FAM120A,ENSG00000048828,FAM120A,Gene Expression
PHF2,ENSG00000197724,PHF2,Gene Expression
PTPDC1,ENSG00000158079,PTPDC1,Gene Expression
MIRLET7A1HG,ENSG00000269929,MIRLET7A1HG,Gene Expression
ZNF169,ENSG00000175787,ZNF169,Gene Expression
ENSG00000232063,ENSG00000232063,ENSG00000232063,Gene Expression
MFSD14B,ENSG00000148110,MFSD14B,Gene Expression
AOPEP,ENSG00000148120,AOPEP,Gene Expression
FANCC,ENSG00000158169,FANCC,Gene Expression
PTCH1,ENSG00000185920,PTCH1,Gene Expression
ENSG00000271155,ENSG00000271155,ENSG00000271155,Gene Expression
ERCC6L2-AS1,ENSG00000175611,ERCC6L2-AS1,Gene Expression
ERCC6L2,ENSG00000182150,ERCC6L2,Gene Expression
SLC35D2,ENSG00000130958,SLC35D2,Gene Expression
ZNF367,ENSG00000165244,ZNF367,Gene Expression
HABP4,ENSG00000130956,HABP4,Gene Expression
CDC14B,ENSG00000081377,CDC14B,Gene Expression
PRXL2C,ENSG00000158122,PRXL2C,Gene Expression
ZNF510,ENSG00000081386,ZNF510,Gene Expression
ZNF782,ENSG00000196597,ZNF782,Gene Expression
MFSD14CP,ENSG00000290770,MFSD14CP,Gene Expression
CTSV,ENSG00000136943,CTSV,Gene Expression
ENSG00000203279,ENSG00000203279,ENSG00000203279,Gene Expression
CCDC180,ENSG00000197816,CCDC180,Gene Expression
TDRD7,ENSG00000196116,TDRD7,Gene Expression
TMOD1,ENSG00000136842,TMOD1,Gene Expression
TSTD2,ENSG00000136925,TSTD2,Gene Expression
NCBP1,ENSG00000136937,NCBP1,Gene Expression
XPA,ENSG00000136936,XPA,Gene Expression
TRMO,ENSG00000136932,TRMO,Gene Expression
HEMGN,ENSG00000136929,HEMGN,Gene Expression
ANP32B,ENSG00000136938,ANP32B,Gene Expression
NANS,ENSG00000095380,NANS,Gene Expression
TRIM14,ENSG00000106785,TRIM14,Gene Expression
CORO2A,ENSG00000106789,CORO2A,Gene Expression
TBC1D2,ENSG00000095383,TBC1D2,Gene Expression
GABBR2,ENSG00000136928,GABBR2,Gene Expression
ANKS6,ENSG00000165138,ANKS6,Gene Expression
GALNT12,ENSG00000119514,GALNT12,Gene Expression
COL15A1,ENSG00000204291,COL15A1,Gene Expression
TGFBR1,ENSG00000106799,TGFBR1,Gene Expression
ALG2,ENSG00000119523,ALG2,Gene Expression
SEC61B,ENSG00000106803,SEC61B,Gene Expression
ENSG00000237461,ENSG00000237461,ENSG00000237461,Gene Expression
STX17-DT,ENSG00000255145,STX17-DT,Gene Expression
STX17,ENSG00000136874,STX17,Gene Expression
ERP44,ENSG00000023318,ERP44,Gene Expression
INVS,ENSG00000119509,INVS,Gene Expression
TEX10,ENSG00000136891,TEX10,Gene Expression
MSANTD3,ENSG00000066697,MSANTD3,Gene Expression
TMEFF1,ENSG00000241697,TMEFF1,Gene Expression
MRPL50,ENSG00000136897,MRPL50,Gene Expression
ZNF189,ENSG00000136870,ZNF189,Gene Expression
PGAP4,ENSG00000165152,PGAP4,Gene Expression
RNF20,ENSG00000155827,RNF20,Gene Expression
SMC2,ENSG00000136824,SMC2,Gene Expression
NIPSNAP3A,ENSG00000136783,NIPSNAP3A,Gene Expression
NIPSNAP3B,ENSG00000165028,NIPSNAP3B,Gene Expression
SLC44A1,ENSG00000070214,SLC44A1,Gene Expression
FSD1L,ENSG00000106701,FSD1L,Gene Expression
FKTN,ENSG00000106692,FKTN,Gene Expression
TAL2,ENSG00000186051,TAL2,Gene Expression
TMEM38B,ENSG00000095209,TMEM38B,Gene Expression
LINC01505,ENSG00000234323,LINC01505,Gene Expression
RAD23B,ENSG00000119318,RAD23B,Gene Expression
ELP1,ENSG00000070061,ELP1,Gene Expression
ABITRAM,ENSG00000119328,ABITRAM,Gene Expression
CTNNAL1,ENSG00000119326,CTNNAL1,Gene Expression
TMEM245,ENSG00000106771,TMEM245,Gene Expression
TXN,ENSG00000136810,TXN,Gene Expression
SVEP1,ENSG00000165124,SVEP1,Gene Expression
ECPAS,ENSG00000136813,ECPAS,Gene Expression
LRRC37A5P,ENSG00000290837,LRRC37A5P,Gene Expression
DNAJC25,ENSG00000059769,DNAJC25,Gene Expression
GNG10,ENSG00000242616,GNG10,Gene Expression
UGCG,ENSG00000148154,UGCG,Gene Expression
LINC02977,ENSG00000259953,LINC02977,Gene Expression
SUSD1,ENSG00000106868,SUSD1,Gene Expression
PTBP3,ENSG00000119314,PTBP3,Gene Expression
HSDL2,ENSG00000119471,HSDL2,Gene Expression
HSDL2-AS1,ENSG00000230185,HSDL2-AS1,Gene Expression
KIAA1958,ENSG00000165185,KIAA1958,Gene Expression
INIP,ENSG00000148153,INIP,Gene Expression
SNX30,ENSG00000148158,SNX30,Gene Expression
SLC31A2,ENSG00000136867,SLC31A2,Gene Expression
FKBP15,ENSG00000119321,FKBP15,Gene Expression
SLC31A1,ENSG00000136868,SLC31A1,Gene Expression
CDC26,ENSG00000176386,CDC26,Gene Expression
PRPF4,ENSG00000136875,PRPF4,Gene Expression
WDR31,ENSG00000148225,WDR31,Gene Expression
HDHD3,ENSG00000119431,HDHD3,Gene Expression
ALAD,ENSG00000148218,ALAD,Gene Expression
POLE3,ENSG00000148229,POLE3,Gene Expression
RGS3,ENSG00000138835,RGS3,Gene Expression
ZNF618,ENSG00000157657,ZNF618,Gene Expression
AKNA,ENSG00000106948,AKNA,Gene Expression
WHRN,ENSG00000095397,WHRN,Gene Expression
ATP6V1G1,ENSG00000136888,ATP6V1G1,Gene Expression
TMEM268,ENSG00000157693,TMEM268,Gene Expression
ENSG00000228714,ENSG00000228714,ENSG00000228714,Gene Expression
PAPPA,ENSG00000182752,PAPPA,Gene Expression
ASTN2,ENSG00000148219,ASTN2,Gene Expression
TRIM32,ENSG00000119401,TRIM32,Gene Expression
CDK5RAP2,ENSG00000136861,CDK5RAP2,Gene Expression
MEGF9,ENSG00000106780,MEGF9,Gene Expression
FBXW2,ENSG00000119402,FBXW2,Gene Expression
B3GALT9,ENSG00000214654,B3GALT9,Gene Expression
PSMD5,ENSG00000095261,PSMD5,Gene Expression
PHF19,ENSG00000119403,PHF19,Gene Expression
C5,ENSG00000106804,C5,Gene Expression
CNTRL,ENSG00000119397,CNTRL,Gene Expression
RAB14,ENSG00000119396,RAB14,Gene Expression
GSN,ENSG00000148180,GSN,Gene Expression
STOM,ENSG00000148175,STOM,Gene Expression
ENSG00000227355,ENSG00000227355,ENSG00000227355,Gene Expression
TTLL11,ENSG00000175764,TTLL11,Gene Expression
NDUFA8,ENSG00000119421,NDUFA8,Gene Expression
LHX6,ENSG00000106852,LHX6,Gene Expression
RBM18,ENSG00000119446,RBM18,Gene Expression
MRRF,ENSG00000148187,MRRF,Gene Expression
PTGS1,ENSG00000095303,PTGS1,Gene Expression
ENSG00000234156,ENSG00000234156,ENSG00000234156,Gene Expression
PDCL,ENSG00000136940,PDCL,Gene Expression
RC3H2,ENSG00000056586,RC3H2,Gene Expression
ZBTB6,ENSG00000186130,ZBTB6,Gene Expression
ZBTB26,ENSG00000171448,ZBTB26,Gene Expression
RABGAP1,ENSG00000011454,RABGAP1,Gene Expression
STRBP,ENSG00000165209,STRBP,Gene Expression
DENND1A,ENSG00000119522,DENND1A,Gene Expression
NEK6,ENSG00000119408,NEK6,Gene Expression
PSMB7,ENSG00000136930,PSMB7,Gene Expression
NR6A1,ENSG00000148200,NR6A1,Gene Expression
MIR181A2HG,ENSG00000224020,MIR181A2HG,Gene Expression
RPL35,ENSG00000136942,RPL35,Gene Expression
ARPC5L,ENSG00000136950,ARPC5L,Gene Expression
ENSG00000289285,ENSG00000289285,ENSG00000289285,Gene Expression
GOLGA1,ENSG00000136935,GOLGA1,Gene Expression
SCAI,ENSG00000173611,SCAI,Gene Expression
PPP6C,ENSG00000119414,PPP6C,Gene Expression
RABEPK,ENSG00000136933,RABEPK,Gene Expression
HSPA5,ENSG00000044574,HSPA5,Gene Expression
GAPVD1,ENSG00000165219,GAPVD1,Gene Expression
MAPKAP1,ENSG00000119487,MAPKAP1,Gene Expression
PBX3,ENSG00000167081,PBX3,Gene Expression
ZBTB43,ENSG00000169155,ZBTB43,Gene Expression
ZBTB34,ENSG00000177125,ZBTB34,Gene Expression
RALGPS1,ENSG00000136828,RALGPS1,Gene Expression
GARNL3,ENSG00000136895,GARNL3,Gene Expression
SLC2A8,ENSG00000136856,SLC2A8,Gene Expression
ZNF79,ENSG00000196152,ZNF79,Gene Expression
RPL12,ENSG00000197958,RPL12,Gene Expression
LRSAM1,ENSG00000148356,LRSAM1,Gene Expression
NIBAN2,ENSG00000136830,NIBAN2,Gene Expression
STXBP1,ENSG00000136854,STXBP1,Gene Expression
PTRH1,ENSG00000187024,PTRH1,Gene Expression
TOR2A,ENSG00000160404,TOR2A,Gene Expression
CDK9,ENSG00000136807,CDK9,Gene Expression
FPGS,ENSG00000136877,FPGS,Gene Expression
ENG,ENSG00000106991,ENG,Gene Expression
AK1,ENSG00000106992,AK1,Gene Expression
ST6GALNAC6,ENSG00000160408,ST6GALNAC6,Gene Expression
ST6GALNAC4,ENSG00000136840,ST6GALNAC4,Gene Expression
PIP5KL1,ENSG00000167103,PIP5KL1,Gene Expression
DPM2,ENSG00000136908,DPM2,Gene Expression
EEIG1,ENSG00000167106,EEIG1,Gene Expression
NAIF1,ENSG00000171169,NAIF1,Gene Expression
SLC25A25,ENSG00000148339,SLC25A25,Gene Expression
PTGES2,ENSG00000148334,PTGES2,Gene Expression
LCN2,ENSG00000148346,LCN2,Gene Expression
BBLN,ENSG00000171159,BBLN,Gene Expression
CIZ1,ENSG00000148337,CIZ1,Gene Expression
DNM1,ENSG00000106976,DNM1,Gene Expression
GOLGA2,ENSG00000167110,GOLGA2,Gene Expression
SWI5,ENSG00000175854,SWI5,Gene Expression
TRUB2,ENSG00000167112,TRUB2,Gene Expression
COQ4,ENSG00000167113,COQ4,Gene Expression
SLC27A4,ENSG00000167114,SLC27A4,Gene Expression
URM1,ENSG00000167118,URM1,Gene Expression
CERCAM,ENSG00000167123,CERCAM,Gene Expression
ODF2,ENSG00000136811,ODF2,Gene Expression
GLE1,ENSG00000119392,GLE1,Gene Expression
SPTAN1,ENSG00000197694,SPTAN1,Gene Expression
DYNC2I2,ENSG00000119333,DYNC2I2,Gene Expression
SET,ENSG00000119335,SET,Gene Expression
PKN3,ENSG00000160447,PKN3,Gene Expression
ZDHHC12,ENSG00000160446,ZDHHC12,Gene Expression
ZDHHC12-DT,ENSG00000223478,ZDHHC12-DT,Gene Expression
ZER1,ENSG00000160445,ZER1,Gene Expression
TBC1D13,ENSG00000107021,TBC1D13,Gene Expression
ENDOG,ENSG00000167136,ENDOG,Gene Expression
SPOUT1,ENSG00000198917,SPOUT1,Gene Expression
KYAT1,ENSG00000171097,KYAT1,Gene Expression
LRRC8A,ENSG00000136802,LRRC8A,Gene Expression
DOLK,ENSG00000175283,DOLK,Gene Expression
NUP188,ENSG00000095319,NUP188,Gene Expression
SH3GLB2,ENSG00000148341,SH3GLB2,Gene Expression
MIGA2,ENSG00000148343,MIGA2,Gene Expression
ENSG00000287234,ENSG00000287234,ENSG00000287234,Gene Expression
DOLPP1,ENSG00000167130,DOLPP1,Gene Expression
CRAT,ENSG00000095321,CRAT,Gene Expression
PTPA,ENSG00000119383,PTPA,Gene Expression
IER5L,ENSG00000188483,IER5L,Gene Expression
LINC00963,ENSG00000204054,LINC00963,Gene Expression
NTMT1,ENSG00000148335,NTMT1,Gene Expression
ASB6,ENSG00000148331,ASB6,Gene Expression
TOR1B,ENSG00000136816,TOR1B,Gene Expression
TOR1A,ENSG00000136827,TOR1A,Gene Expression
C9orf78,ENSG00000136819,C9orf78,Gene Expression
USP20,ENSG00000136878,USP20,Gene Expression
ENSG00000288956,ENSG00000288956,ENSG00000288956,Gene Expression
FNBP1,ENSG00000187239,FNBP1,Gene Expression
ENSG00000289226,ENSG00000289226,ENSG00000289226,Gene Expression
GPR107,ENSG00000148358,GPR107,Gene Expression
NCS1,ENSG00000107130,NCS1,Gene Expression
ASS1,ENSG00000130707,ASS1,Gene Expression
FUBP3,ENSG00000107164,FUBP3,Gene Expression
EXOSC2,ENSG00000130713,EXOSC2,Gene Expression
ABL1,ENSG00000097007,ABL1,Gene Expression
NUP214,ENSG00000126883,NUP214,Gene Expression
ENSG00000236986,ENSG00000236986,ENSG00000236986,Gene Expression
FAM78A,ENSG00000126882,FAM78A,Gene Expression
PLPP7,ENSG00000160539,PLPP7,Gene Expression
PRRC2B,ENSG00000288701,PRRC2B,Gene Expression
POMT1,ENSG00000130714,POMT1,Gene Expression
UCK1,ENSG00000130717,UCK1,Gene Expression
RAPGEF1,ENSG00000107263,RAPGEF1,Gene Expression
MED27,ENSG00000160563,MED27,Gene Expression
SETX,ENSG00000107290,SETX,Gene Expression
TTF1,ENSG00000125482,TTF1,Gene Expression
DDX31,ENSG00000125485,DDX31,Gene Expression
GTF3C4,ENSG00000125484,GTF3C4,Gene Expression
AK8,ENSG00000165695,AK8,Gene Expression
SPACA9,ENSG00000165698,SPACA9,Gene Expression
TSC1,ENSG00000165699,TSC1,Gene Expression
GFI1B,ENSG00000165702,GFI1B,Gene Expression
ENSG00000288989,ENSG00000288989,ENSG00000288989,Gene Expression
GTF3C5,ENSG00000148308,GTF3C5,Gene Expression
RALGDS,ENSG00000160271,RALGDS,Gene Expression
GBGT1,ENSG00000148288,GBGT1,Gene Expression
ABO,ENSG00000175164,ABO,Gene Expression
SURF6,ENSG00000148296,SURF6,Gene Expression
MED22,ENSG00000148297,MED22,Gene Expression
RPL7A,ENSG00000148303,RPL7A,Gene Expression
SURF1,ENSG00000148290,SURF1,Gene Expression
SURF2,ENSG00000148291,SURF2,Gene Expression
SURF4,ENSG00000148248,SURF4,Gene Expression
STKLD1,ENSG00000198870,STKLD1,Gene Expression
REXO4,ENSG00000148300,REXO4,Gene Expression
CACFD1,ENSG00000160325,CACFD1,Gene Expression
BRD3OS,ENSG00000235106,BRD3OS,Gene Expression
BRD3,ENSG00000169925,BRD3,Gene Expression
WDR5,ENSG00000196363,WDR5,Gene Expression
RXRA,ENSG00000186350,RXRA,Gene Expression
PPP1R26-AS1,ENSG00000225361,PPP1R26-AS1,Gene Expression
PPP1R26,ENSG00000196422,PPP1R26,Gene Expression
PIERCE1,ENSG00000160345,PIERCE1,Gene Expression
MRPS2,ENSG00000122140,MRPS2,Gene Expression
PAEP,ENSG00000122133,PAEP,Gene Expression
CAMSAP1,ENSG00000130559,CAMSAP1,Gene Expression
CAMSAP1-DT,ENSG00000238058,CAMSAP1-DT,Gene Expression
